neuron1,neuron2,neuron3,neuron4,neuron5,neuron6,neuron7,neuron8,neuron9,neuron10,neuron11,neuron12,neuron13,neuron14,neuron15,neuron16,neuron17
0.023364293,0.033984427,0.517696102,0.00396485,0.133955282,0.017275417,0.617383754,0.19427764,0.079863403,0.02067386,0.036958064,0.013735373,0.051826251,1.404123235,0.074199332,0.039648498,0.166098886
0.04856941,0.098838041,0.699654387,0.032143604,0.155761956,0.026054727,0.933438923,0.212685871,0.098838041,0.037666073,0.174594993,0.021806674,0.111865405,1.79551055,0.083969855,0.086093881,0.203198552
0.164682868,0.1035109,0.854141927,0.070517686,0.214809898,0.048427808,0.952696765,0.264936927,0.149956283,0.050268631,0.208721021,0.110732591,0.155053947,2.069651593,0.094306784,0.106909343,0.242280643
0.221889987,0.1114406,1.192570178,0.091899554,0.246953502,0.055791101,1.683503543,0.271167406,0.220049164,0.057631924,0.265078529,0.116113458,0.161567629,2.175711325,0.100537263,0.152221912,0.27711468
0.256016015,0.118803892,1.212819232,0.143725805,0.284761176,0.121777529,2.289134349,0.352446826,0.358110898,0.062021579,0.351597216,0.160293213,0.212119464,2.331473281,0.145566628,0.178843046,0.31293993
0.36943904,0.144292212,1.388122234,0.16878932,0.359243712,0.153071522,2.501395415,0.381050386,0.37028865,0.094023581,0.456382532,0.185356728,0.240015014,2.427337685,0.226279642,0.192578419,0.332339374
0.432168628,0.164966072,2.976469382,0.197676083,0.400025024,0.158169186,3.054491962,0.422539707,0.413901998,0.553804555,0.461621798,0.371704668,0.307700664,2.458631678,0.236333368,0.221181978,0.421831698
0.484278082,0.180117462,5.687718633,0.214101889,0.461621798,0.228686872,3.636616873,0.508633588,0.532139483,0.565699105,0.566265512,0.393936147,0.353296437,2.476048697,0.249927139,0.29382369,0.425938149
0.523218571,0.228403669,5.916405505,0.236050165,0.474082754,0.238598997,5.479564018,0.524492987,0.538794767,0.582408115,0.573345601,0.404414679,0.371704668,2.48581922,0.315630364,0.319595214,0.594727469
0.569947158,0.25318398,6.299579917,0.258423246,0.503394322,0.299204558,5.917538319,0.654766623,0.619790984,0.614410116,0.620498993,0.43471746,0.438399106,2.48822645,0.324268073,0.393794546,0.787305888
0.598692319,0.272866627,6.53945333,0.291274858,0.749073408,0.329790542,6.20824677,0.738594876,0.649810561,0.64655372,0.795093986,0.493765401,0.455816125,2.783466158,0.345508339,0.434859061,0.825113563
0.631119126,0.282212344,7.282862666,0.320020019,0.789429915,0.369722243,6.446279359,0.850885086,0.677422908,0.680113342,0.814918235,0.513306447,0.492632587,3.077148246,0.352305225,0.536953944,1.000416564
